district,period,date
Каменецкий,с 00.00 до 24.00,2018-04-17
Каменецкий,с 00.00 до 24.00,2018-08-08
Каменецкий,с 00.00 до 24.00,2018-11-21
Чечерский,с 8:00 до 12:00,2018-05-30
Чечерский,с 00:00 до 08.00,2018-05-31
Чечерский,с 8:00 до 12:00,2018-06-09
Чечерский,с 00:00 до 8:00,2018-06-10
Вороновский,с 00.00 до 24.00,2018-06-09
Минский,с 00.00 до 24.00,2018-06-09
Малоритский,с 00.00 до 24.00,2018-05-30
Малоритский,с 00.00 до 24.00,2018-06-09
Ляховичский,с 00.00 до 24.00,2018-05-15
Ляховичский,с 00.00 до 24.00,2018-05-30
Ляховичский,с 00.00 до 24.00,2018-06-09
Ляховичский,с 00.00 до 24.00,2018-06-24
Ляховичский,с 00.00 до 24.00,2018-07-07
Ляховичский,с 00.00 до 24.00,2018-09-01
Ивацевичский,с 00.00 до 24.00,2018-06-09
Дрогичинский,с 00.00 до 24.00,2018-05-15
Дрогичинский,с 00.00 до 24.00,2018-06-09
Дрогичинский,с 00.00 до 24.00,2018-06-24
Каменецкий,с 00.00 до 24.00,2018-06-09
Ганцевичский,с 00.00 до 24.00,2018-03-15
Ганцевичский,с 00.00 до 24.00,2018-05-15
Ганцевичский,с 00.00 до 24.00,2018-06-24
Ганцевичский,с 00.00 до 24.00,2018-09-01
Ганцевичский,с 00.00 до 24.00,2018-10-14
Пинск,с 14.00 до 24.00,2018-06-09
Пинский,с 14.00 до 24.00,2018-06-09
Барановичский,с 00.00 до 24.00,2018-06-09
Барановичи,с 14.00 до 24.00,2018-06-09
Ивановский,с 00.00 до 24.00,2018-05-30
Ивановский,с 00.00 до 24.00,2018-06-09
Ивановский,с 00.00 до 24.00,2018-07-07
Ивановский,с 00.00 до 24.00,2018-09-01
Столинский,с 00.00 до 24.00,2018-05-30
Столинский,с 00.00 до 24.00,2018-06-09
Столинский,с 00.00 до 24.00,2018-09-01
Жабинковский,с 00.00 до 24.00,2018-05-30
Жабинковский,с 00.00 до 24.00,2018-06-09
Жабинковский,с 00.00 до 24.00,2018-06-24
Жабинковский,с 00.00 до 24.00,2018-07-07
Жабинковский,с 00.00 до 24.00,2018-09-01
Жабинковский,с 00.00 до 24.00,2018-10-14
Кобринский,с 00.00 до 24.00,2018-05-30
Кобринский,с 00.00 до 24.00,2018-06-09
Кобринский,с 00.00 до 24.00,2018-07-07
Кобринский,с 00.00 до 24.00,2018-09-01
Ганцевичский,с 00.00 до 24.00,2018-05-30
Ганцевичский,с 14.00 до 24.00,2018-06-09
Брестский,с 00.00 до 24.00,2018-05-30
Брестский,с 00.00 до 24.00,2018-10-14
Брестский,с 00.00 до 24.00,2018-10-01
Брестский,с 00.00 до 24.00,2018-12-03
Брестский,с 07.00 до 24.00,2018-06-09
Березовский,с 00.00 до 24.00,2018-05-30
Березовский,с 14.00 до 24.00,2018-06-09
Пружанский,с 00.00 до 24.00,2018-05-30
Пружанский,с 06.00 до 11.00,2018-06-04
Пружанский,с 06.00 до 11.00,2018-07-02
Пружанский,с 06.00 до 11.00,2018-08-06
Пружанский,с 06.00 до 11.00,2018-09-03
Пружанский,с 06.00 до 11.00,2018-10-01
Пружанский,с 06.00 до 11.00,2018-11-05
Пружанский,с 06.00 до 11.00,2018-12-03
Пружанский,с 00.00 до 24.00,2018-06-09
Пружанский,с 00.00 до 24.00,2018-06-29
Пружанский,с 00.00 до 24.00,2018-07-27
Пружанский,с 00.00 до 24.00,2018-08-31
Пружанский,с 00.00 до 24.00,2018-09-28
Пружанский,с 00.00 до 24.00,2018-10-26
Пружанский,с 00.00 до 24.00,2018-11-30
Пружанский,с 00.00 до 24.00,2018-12-28
Брест,с 08.00 до 24.00,2018-05-30
Брест,с 14.00 до 24.00,2018-06-09
Брест,с 00.00 до 08.00,2018-06-10
Лунинецкий,с 00.00 до 24.00,2018-06-10
Лунинецкий,с 00.00 до 24.00,2018-07-07
Лунинецкий,с 00.00 до 24.00,2018-09-01
Житковичский,с 00.00 до 24.00,2018-04-24
Житковичский,с 00.00 до 24.00,2018-05-15
Житковичский,с 00.00 до 24.00,2018-06-24
Житковичский,с 00.00 до 24.00,2018-07-20
Житковичский,с 00.00 до 24.00,2018-08-17
Житковичский,с 00.00 до 24.00,2018-09-01
Житковичский,с 00.00 до 24.00,2018-10-12
Житковичский,с 00.00 до 24.00,2018-11-20
Житковичский,с 00.00 до 24.00,2018-12-03
Лельчицкий,с 00.00 до 24.00,2018-04-27
Лельчицкий,с 00.00 до 24.00,2018-05-30
Лельчицкий,с 08.00 до 24.00,2018-06-09
Лельчицкий,с 00.00 до 08.00,2018-06-10
Лельчицкий,с 00.00 до 24.00,2018-07-07
Лельчицкий,с 00.00 до 24.00,2018-08-03
Лельчицкий,с 00.00 до 24.00,2018-08-16
Лельчицкий,с 00.00 до 24.00,2018-09-10
Лельчицкий,с 00.00 до 24.00,2018-10-14
Лельчицкий,с 00.00 до 24.00,2018-11-17
Лельчицкий,с 00.00 до 24.00,2018-12-01
Ельский,с 08.00 до 24.00,2018-05-30
Ельский,с 00.00 до 08.00,2018-05-31
Ельский,с 08.00 до 24.00,2018-06-09
Ельский,с 00.00 до 08.00,2018-06-10
Буда-Кошелевский,с 20.00 до 24.00,2018-05-31
Буда-Кошелевский,с 00.00 до 08.00,2018-06-01
Буда-Кошелевский,с 20.00 до 24.00,2018-06-24
Буда-Кошелевский,с 00.00 до 08.00,2018-06-25
Буда-Кошелевский,с 20.00 до 24.00,2018-08-02
Буда-Кошелевский,с 00.00 до 08.00,2018-08-03
Буда-Кошелевский,с 20.00 до 24.00,2018-09-01
Буда-Кошелевский,с 00.00 до 08.00,2018-09-02
Буда-Кошелевский,с 20.00 до 24.00,2018-10-28
Буда-Кошелевский,с 00.00 до 08.00,2018-10-29
Мозырский,с 08.00 до 24.00,2018-05-30
Мозырский,с 00.00 до 08.00,2018-05-31
Мозырский,с 08.00 до 24.00,2018-06-09
Мозырский,с 00.00 до 08.00,2018-06-10
Мозырский,с 08.00 до 24.00,2018-09-01
Мозырский,с 00.00 до 08.00,2018-09-02
Калинковичский,с 08.00 до 24.00,2018-05-30
Калинковичский,с 00.00 до 08.00,2018-05-31
Калинковичский,с 08.00 до 24.00,2018-06-09
Калинковичский,с 00.00 до 08.00,2018-06-10
Калинковичский,с 08.00 до 24.00,2018-09-01
Калинковичский,с 00.00 до 08.00,2018-09-02
Калинковичский,с 08.00 до 24.00,2018-10-14
Калинковичский,с 00.00 до 08.00,2018-10-15
Наровлянский,с 08.00 до 24.00,2018-05-30
Наровлянский,с 00.00 до 08.00,2018-05-31
Наровлянский,с 08.00 до 24.00,2018-06-09
Наровлянский,с 00.00 до 08.00,2018-06-10
Октябрьский,с 08.00 до 24.00,2018-05-30
Октябрьский,с 00.00 до 08.00,2018-05-31
Октябрьский,с 08.00 до 24.00,2018-06-09
Октябрьский,с 00.00 до 08.00,2018-06-10
Гомельский,с 08.00 до 24.00,2018-05-30
Гомельский,с 00.00 до 08.00,2018-05-31
Гомельский,с 08.00 до 24.00,2018-06-09
Гомельский,с 00.00 до 08.00,2018-06-10
Светлогорский,с 08.00 до 24.00 ,2018-05-30
Светлогорский,с 00.00 до 08.00,2018-05-31
Светлогорский,с 08.00 до 24.00,2018-06-09
Светлогорский,с 00.00 до 08.00,2018-06-10
Кормянский,с 08.00 до 24.00,2018-05-30
Кормянский,с 00.00 до 08.00,2018-05-31
Кормянский,с 08.00 до 24.00,2018-06-01
Кормянский,с 00.00 до 08.00,2018-06-02
Кормянский,с 08.00 до 24.00,2018-06-09
Кормянский,с 00.00 до 08.00,2018-06-10
Кормянский,с 08.00 до 24.00,2018-09-01
Кормянский,с 00.00 до 08.00,2018-09-02
Кормянский,с 08.00 до 24.00,2018-10-14
Кормянский,с 00.00 до 08.00,2018-10-15
Добрушский,с 08.00 до 24.00,2018-05-30
Добрушский,с 00.00 до 08.00,2018-05-31
Рогачевский,с 08.00 до 24.00,2018-05-30
Рогачевский,с 00.00 до 08.00,2018-05-31
Рогачевский,с 08.00 до 24.00,2018-06-09
Рогачевский,с 00.00 до 08.00,2018-06-10
Круглянский,с 00.00 по 24.00,2018-06-08
Круглянский,с 00.00 по 24.00,2018-06-09
Круглянский,с 00.00 по 24.00,2018-02-03
Круглянский,с 00.00 по 24.00,2018-09-01
Дрибинский,с 00.00 по 24.00,2018-06-08
Дрибинский,с 00.00 по 24.00,2018-06-09
Дрибинский,с 00.00 по 24.00,2018-03-30
Дрибинский,с 00.00 по 24.00,2018-09-01
Дрибинский,с 00.00 по 24.00,2018-12-14
Бобруйский,с 00.00 по 24.00,2018-03-15
Бобруйский,с 00.00 по 24.00,2018-09-01
Бобруйский,с 00.00 по 24.00,2018-11-15
Краснопольский,с 00.00 до 24.00,2018-09-01
Краснопольский,с 00.00 до 24.00,2018-06-08
Бобруйск,с 00.00 по 24.00,2018-03-14
Бобруйск,с 00.00 по 24.00,2018-08-31
Бобруйск,с 00.00 по 24.00,2018-11-16
Бобруйск,с 00.00 по 24.00,2018-06-09
Бобруйск,с 00.00 по 24.00,2018-05-30
Глусский,с 00.00 по 24.00,2018-03-15
Глусский,с 00.00 по 24.00,2018-06-21
Глусский,с 00.00 по 24.00,2018-09-20
Глусский,с 00.00 по 24.00,2018-12-20
Кричевский,с 17.00 до 24.00,2018-06-08
Кричевский,с 00.00 до 24.00,2018-03-30
Кричевский,с 00.00 до 24.00,2018-05-31
Кричевский,с 00.00 до 24.00,2018-09-01
Кричевский,с 00.00 до 24.00,2018-11-15
Осиповичский,с 00.00 по 24.00,2018-03-28
Осиповичский,с 00.00 по 24.00,2018-04-26
Осиповичский,с 00.00 по 24.00,2018-05-31
Осиповичский,с 00.00 по 24.00,2018-06-09
Осиповичский,с 00.00 по 24.00,2018-09-01
Осиповичский,с 00.00 по 24.00,2018-11-15
Горецкий,с 00.00 до 24.00,2018-06-01
Горецкий,с 00.00 до 24.00,2018-06-24
Горецкий,с 00.00 до 24.00,2018-09-01
Горецкий,с 12.00 до 24.00,2018-05-31
Горецкий,с 00.00 до 24.00,2018-06-09
Климовичский,с 08.00 до 23.00,2018-05-30
Климовичский,с 08.00 до 23.00,2018-06-09
Климовичский,с 08.00 до 23.00,2018-09-01
Климовичский,с 08.00 до 23.00,2018-10-14
Славгородский,с 00.00 до 24.00,2018-06-09
Славгородский,с 00.00 до 24.00,2018-05-19
Славгородский,с 00.00 до 24.00,2018-05-30
Славгородский,с 00.00 до 24.00,2018-09-01
Бобруйский,с 00.00 до 24.00,2018-05-30
Бобруйский,с 00.00 до 24.00,2018-06-09
Кировский,с 14.00 до 24.00,2018-06-09
Кировский,с 00.00 до 24.00,2018-06-01
Кировский,с 00.00 до 24.00,2018-09-01
Кировский,с 00.00 до 24.00,2018-10-14
Кличевский,с 00.00 до 24.00,2018-06-09
Кличевский,с 00.00 до 24.00,2018-05-30
Кличевский,с 00.00 до 24.00,2018-09-01
Могилев,с 00.00 до 24.00,2018-05-30
Могилев,с 00.00 до 24.00,2018-06-09
Глусский,с 16.00 до 24.00,2018-06-09
Могилевский,с 00.00 до 24.00,2018-06-09
Могилевский,с 00.00 до 24.00,2018-09-01
Чаусский,с 00.00 до 24.00,2018-05-30
Чаусский,с 00.00 до 24.00,2018-06-09
Хотимский,с 00.00 до 24.00,2018-06-09
Хотимский,с 00.00 до 24.00,2018-05-30
Хотимский,с 00.00 до 24.00,2018-09-01
Чериковский,с 17.00 до 24.00,2018-06-09
Чериковский,с 00.00 до 08.00,2018-06-10
Быховский,с 00.00 до 24.00,2018-06-09
Быховский,с 00.00 до 24.00,2018-06-10
Быховский,с 00.00 до 24.00,2018-08-16
Быховский,с 00.00 до 24.00,2018-09-01
Быховский,с 00.00 до 24.00,2018-11-15
Шкловский,с 16.00 до 24.00,2018-05-30
Шкловский,с 16.00 до 24.00,2018-06-09
Белыничский,с 00.00 до 24.00,2018-05-30
Белыничский,с 00.00 до 24.00,2018-06-09
Логойский,с 00.00 до 24.00,2018-06-09
Логойский,с 00.00 до 24.00,2018-06-10
Любанский,с 07.00 до 24.00,2018-06-09
Копыльский,с 00.00 до 24.00,2018-06-09
Несвижский,с 00.00 до 24.00,2018-06-09
Мядельский,с 00.00 до 24.00,2018-06-09
Березинский,с 08.00 до 24.00,2018-06-09
Жодино,с 07.00 до 24.00,2018-06-09
Пуховичский,с 00.00 до 24.00,2018-06-09
Вилейский,с 00.00 до 24.00,2018-06-09
Воложинский,с 00.00 до 24.00,2018-06-09
Смолевичский,с 00.00 до 24.00,2018-06-09
Крупский,с 00.00 до 24.00,2018-05-30
Крупский,с 00.00 до 24.00,2018-06-09
Столбцовский,с 00.00 до 24.00,2018-06-09
Узденский,с 00.00 до 24.00,2018-06-09
Борисовский,с 00.00 до 24.00,2018-06-09
Дзержинский,с 00.00 до 24.00,2018-06-09
Стародорожский,с 08.00 до 24.00,2018-06-09
Слуцкий,с 00.00 до 24.00,2018-06-09
Солигорский,с 07.00 до 24.00,2018-06-09
Клецкий,с 08.00 до 24.00,2018-06-09
Клецкий,с 00.00 до 08.00,2018-06-10
Минск,с 08.00 до 24.00,2018-05-30
Минск,с 00.00 до 08.00,2018-05-31
Минск,с 08.00 до 24.00,2018-06-09
Минск,с 00.00 до 08.00,2018-06-10
Лидский,с 00.00 по 24.00,2018-05-12
Мостовский,с 00.00 до 24.00,2018-04-29
Мостовский,с 00.00 до 24.00,2018-05-27
Мостовский,с 00.00 до 24.00,2018-06-24
Мостовский,с 00.00 до 24.00,2018-07-29
Мостовский,с 00.00 до 24.00,2018-08-26
Мостовский,с 00.00 до 24.00,2018-09-30
Мостовский,с 00.00 до 24.00,2018-10-28
Мостовский,с 00.00 до 24.00,2018-11-25
Мостовский,с 00.00 до 24.00,2018-12-21
Лидский,с 00.00 до 24.00,2018-06-09
Гродно,с 16.00 до 24.00,2018-06-09
Зельвенский,с 07.00 до 24.00,2018-06-09
Щучинский,с 16.00 до 24.00,2018-06-09
Мостовский,с 00.00 до 24.00,2018-06-09
Кореличский,с 00.00 до 24.00,2018-06-09
Островецкий,с 00.00 до 24.00,2018-06-09
Слонимский,с 16.00 до 24.00,2018-06-09
Сморгонский,с 16.00 до 24.00,2018-06-09
Дятловский,с 15.00 до 24.00,2018-06-09
Берестовицкий,с 15.00 до 24.00,2018-06-09
Берестовицкий,с 00.00 до 08.00,2018-06-10
Ошмянский,с 00.00 до 24.00,2018-06-09
Свислочский,с 09.00 до 24.00,2018-06-09
Новогрудский,с 00.00 до 24.00,2018-06-09
Ивьевский,с 12.00 до 24.00,2018-06-09
Гродненский,с 15.00 до 24.00,2018-06-09
Браславский,с 00.00 до 24.00,2018-03-31
Браславский,с 00.00 до 24.00,2018-04-21
Браславский,с 00.00 до 24.00,2018-10-06
Браславский,с 00.00 до 24.00,2018-11-17
Браславский,с 00.00 до 24.00,2018-05-31
Браславский,с 00.00 до 24.00,2018-06-08
Браславский,с 00.00 до 24.00,2018-06-09
Браславский,с 00.00 до 24.00,2018-09-01
Лиозненский,с 00.00 до 24.00,2018-02-10
Лиозненский,с 00.00 до 24.00,2018-06-09
Лиозненский,с 00.00 до 24.00,2018-09-01
Лиозненский,с 00.00 до 24.00,2018-11-15
Миорский,с 00.00 до 24.00,2018-03-15
Миорский,с 00.00 до 24.00,2018-09-01
Миорский,с 00.00 до 24.00,2018-05-30
Миорский,с 00.00 до 24.00,2018-11-15
Миорский,с 17.00 до 24.00,2018-06-09
Шумилинский,с 00.00 до 24.00,2018-03-01
Шумилинский,с 00.00 до 24.00,2018-05-31
Шумилинский,с 00.00 до 24.00,2018-06-09
Шумилинский,с 00.00 до 24.00,2018-09-01
Шумилинский,с 00.00 до 24.00,2018-12-01
Глубокский,с 00.00 до 24.00,2018-06-24
Глубокский,с 00.00 до 24.00,2018-09-01
Глубокский,с 00.00 до 24.00,2018-09-18
Глубокский,с 00.00 до 24.00,2018-06-08
Глубокский,с 00.00 до 24.00,2018-06-09
Глубокский,с 00.00 до 24.00,2018-06-10
Глубокский,с 00.00 до 24.00,2018-07-07
Сенненский,с 00.00 до 24.00,2018-06-01
Сенненский,с 00.00 до 24.00,2018-09-01
Сенненский,с 00.00 до 24.00,2018-05-30
Сенненский,с 00.00 до 24.00,2018-12-15
Сенненский,с 00.00 до 24.00,2018-06-09
Витебск,с 15.00 до 24.00,2018-06-09
Верхнедвинский,с 00.00 до 24.00,2018-05-30
Верхнедвинский,с 00.00 до 24.00,2018-06-09
Верхнедвинский,с 00.00 до 24.00,2018-06-10
Верхнедвинский,с 00.00 до 24.00,2018-09-01
Дубровенский,с 8.00 до 13.00,2018-05-31
Дубровенский,с 00.00 до 24.00,2018-06-09
Поставский,с 00.00 до 24.00,2018-05-30
Толочинский,с 00.00 до 24.00,2018-05-30
Толочинский,с 00.00 до 24.00,2018-06-02
Толочинский,с 00.00 до 24.00,2018-07-07
Толочинский,с 00.00 до 24.00,2018-07-21
Толочинский,с 00.00 до 24.00,2018-09-01
Толочинский,с 00.00 до 24.00,2018-06-09
Оршанский,с 00.00 до 24.00,2018-05-30
Оршанский,с 00.00 до 12:00,2018-06-09
Оршанский,с 00:00 до 08.00,2018-06-10
Оршанский,с 00.00 до 24.00,2018-09-01
Шарковщинский,с 00.00 до 24.00,2018-05-31
Шарковщинский,с 00.00 до 24.00,2018-06-09
Шарковщинский,с 00.00 до 24.00,2018-09-01
Шарковщинский,с 00.00 до 24.00,2018-12-01
Шарковщинский,с 00.00 до 24.00,2018-05-30
Шарковщинский,с 00.00 до 24.00,2018-06-09
Шарковщинский,с 00.00 до 24.00,2018-09-01
Бешенковичский,с 00.00 до 24.00,2018-05-30
Бешенковичский,с 00.00 до 24.00,2018-06-10
Бешенковичский,с 00.00 до 24.00,2018-09-01
Бешенковичский,с 00.00 до 24.00,2018-12-01
Россонский,с 00.00 до 24.00,2018-05-30
Россонский,с 00.00 до 24.00,2018-06-09
Новополоцк,с 00.00 до 24.00,2018-05-30
Новополоцк,с 00.00 до 24:00,2018-06-10
Новополоцк,с 00:00 до 08.00,2018-06-11
Чашникский,с 00.00 до 24.00,2018-05-30
Чашникский,с 00.00 до 24.00,2018-06-09
Чашникский,с 00.00 до 24.00,2018-09-01
Чашникский,с 00.00 до 24.00,2018-10-03
Полоцкий,с 00.00 до 24.00,2018-05-30
Полоцкий,с 00.00 до 12:00,2018-06-09
Полоцкий,с 00:00 до 08.00,2018-06-10
Докшицкий,с 00.00 до 24.00,2018-06-09
Витебский,с 00.00 до 24.00,2018-05-30
Витебский,с 00.00 до 24.00,2018-06-09
Червенский,с 08.00 до 24.00,2018-06-09
Молодечненский,с 08.00 до 24.00,2018-06-09
Волковысский,с 08.00 до 24.00,2018-06-09
Ушачский,с 00.00 до 24.00,2018-05-30
Ушачский,с 00.00 до 24.00,2018-06-09
Ушачский,с 00.00 до 24.00,2018-09-01
